# 不浪漫罪名
# Converted from SkyStudio format
# BPM: 280
# Total chords: 271

Time,Keys,Duration
0.00,E3,0.21
0.21,F3,0.21
0.43,A2F#3,0.86
1.28,A2B2C#3,0.86
2.14,A2B2C#3,0.64
2.78,C#3,0.21
3.00,A2B2C#3F3,0.21
3.21,F#3,0.21
3.42,F3,0.21
3.64,E3,0.21
3.85,A2F3,0.21
4.07,E3,0.21
4.28,F#3,0.43
4.71,A2B2C#3,0.86
5.56,A2B2C#3,0.64
6.21,C#3,0.21
6.42,A2B2C#3F3,0.21
6.63,F#3,0.21
6.85,F3,0.21
7.06,E3,0.21
7.28,D3F3,0.21
7.49,E3,0.21
7.70,E3,0.43
8.13,A2B2D3,0.86
8.99,A2B2D3,0.86
9.84,A2B2D#3D3,0.64
10.49,E3,0.21
10.70,A2C3D3,0.86
11.56,A2B2D3,0.64
12.20,E3,0.21
12.41,F3,0.21
12.63,A2F#3,0.86
13.48,A2B2C#3,0.86
14.34,A2B2C#3,0.64
14.98,C#3,0.21
15.19,A2B2C#3F3,0.21
15.41,F#3,0.21
15.62,F3,0.21
15.84,E3,0.21
16.05,A2F3,0.21
16.26,E3,0.21
16.48,F#3,0.43
16.91,A2B2C#3,0.86
17.76,A2B2C#3,0.64
18.40,C#3,0.21
18.62,A2B2C#3F3,0.21
18.83,F#3,0.21
19.05,F3,0.21
19.26,E3,0.21
19.47,D3F3,0.21
19.69,E3,0.21
19.90,E3,0.43
20.33,A2B2D3,0.86
21.19,A2B2D3,0.86
22.04,A2B2D3,0.64
22.68,E3,0.21
22.90,A#2G3,0.43
23.33,G3,0.21
23.54,G3,0.21
23.75,A#2C3D3,0.21
23.97,F#3,0.43
24.40,E3,0.21
24.61,C#3F#3,0.21
24.82,F3,0.43
25.25,F3,0.21
25.47,A#2C#3D#3,0.43
25.89,A#2,0.43
26.32,A#2C#3D#3,0.86
27.18,E3,0.21
27.39,F3,0.21
27.61,A2F#3,0.86
28.46,A2B2C#3,0.86
29.32,A2B2C#3,0.64
29.96,C#3,0.21
30.17,A2B2C#3F3,0.21
30.39,F#3,0.21
30.60,F3,0.21
30.82,E3,0.21
31.03,A2F3,0.21
31.24,E3,0.21
31.46,F#3,0.43
31.89,A2B2C#3,0.86
32.74,A2B2C#3,0.64
33.38,C#3,0.21
33.60,A2B2C#3F3,0.21
33.81,F#3,0.21
34.03,F3,0.21
34.24,E3,0.21
34.45,D3F3,0.21
34.67,E3,0.21
34.88,E3,0.43
35.31,A2B2D3,0.86
36.17,A2B2D3,0.86
37.02,A2B2D3,0.64
37.66,E3,0.21
37.88,A#2G3,0.43
38.31,G3,0.21
38.52,G3,0.21
38.73,A#2C3D3,0.21
38.95,F#3,0.43
39.38,E3,0.21
39.59,C#3F#3,0.21
39.80,F3,0.43
40.23,F3,0.21
40.45,A#2C#3D#3,0.43
40.87,A#2,0.43
41.30,A#2C#3D#3,0.86
42.16,A2G3,0.43
42.59,C#3G3,0.21
42.80,G3,0.21
43.01,A2B2C#3,0.21
43.23,F#3,0.43
43.66,E3,0.21
43.87,C3F#3,0.21
44.08,F3,0.43
44.51,F3,0.21
44.73,A2C3D3,0.43
45.15,E3,0.21
45.37,F3,0.21
45.58,D#3F#3,0.43
46.01,C3G3,0.43
46.44,D3F3,0.43
46.87,F#3,0.21
47.08,F3,0.21
47.29,C#3,0.21
47.51,E3,0.21
47.72,A#2,0.43
48.15,D#3,0.43
48.58,A#2G3,0.21
48.79,F#3,0.21
49.01,A2G3,0.43
49.43,C#3G3,0.21
49.65,G#3,0.21
49.86,B2,0.43
50.29,F#3,0.43
50.72,C3F#3,0.43
51.15,A2F3,0.21
51.36,F3,0.21
51.57,D3,0.43
52.00,E3,0.21
52.22,F3,0.21
52.43,C#3F#3,0.43
52.86,A#2F#3,0.43
53.29,C#3F#3,0.43
53.71,F#3,0.43
54.14,C#3F#3,0.21
54.36,F#3,0.21
54.57,A#2G3,0.21
54.78,D#3F#3,0.21
55.00,A#2,0.43
55.43,C#3E3,0.21
55.64,E3,0.21
55.85,A2G#3,0.21
56.07,G#3,0.21
56.28,C#3,0.21
56.50,G#3,0.21
56.71,B2G#3,0.43
57.14,A3,0.21
57.35,G#3,0.21
57.57,A2G#3,0.43
57.99,C#3,0.43
58.42,B2E3,0.43
58.85,A2F3,0.43
59.28,D#3G#3,0.21
59.49,F#3,0.21
59.71,C3,0.21
59.92,F#3,0.21
60.13,D#3F#3,0.43
60.56,F3,0.21
60.78,E3,0.21
60.99,C#3,0.43
61.42,B2,0.21
61.63,C#3E3,0.21
61.85,A#2E3,0.43
62.27,C#3G#3,0.43
62.70,C#3G#3,0.21
62.92,F#3,0.21
63.13,A#2,0.21
63.34,F#3,0.21
63.56,C#3F#3,0.43
63.99,F3,0.21
64.20,E3,0.21
64.41,C#3,0.43
64.84,A#2,0.21
65.06,C3E3,0.21
65.27,A#2F3,0.43
65.70,C#3F#3,0.43
66.13,A2G3,0.21
66.34,G3,0.21
66.55,C#3G3,0.21
66.77,G3,0.21
66.98,B2G3,0.43
67.41,F#3,0.21
67.62,G3,0.21
67.84,A2,0.43
68.27,C#3,0.21
68.48,E3,0.21
68.69,B2E3,0.43
69.12,A2F#3,0.43
69.55,C3F#3,0.21
69.76,F3,0.21
69.98,A2F3,0.21
70.19,E3,0.21
70.41,D3F#3,0.43
70.83,E3,0.21
71.05,F3,0.21
71.26,C3,0.21
71.48,A2,0.21
71.69,C3,0.21
71.90,D3E3,0.21
72.12,A2E3,0.43
72.55,C#3G#3,0.43
72.97,D#3G#3,0.21
73.19,C3F#3,0.21
73.40,D#3F#3,0.21
73.62,A#2F#3,0.21
73.83,C3F#3,0.43
74.26,A#2F3,0.21
74.47,E3,0.21
74.69,D#3,0.43
75.11,C3,0.21
75.33,E3,0.21
75.54,A#2E3,0.43
75.97,D#3G#3,0.43
76.40,C#3G#3,0.21
76.61,A#2F#3,0.21
76.83,C#3,0.21
77.04,D#3F#3,0.21
77.25,A#2F#3,0.21
77.47,D#3,0.21
77.68,F3,0.21
77.90,C#3E3,0.21
78.11,C#3,0.43
78.54,A#2,0.21
78.75,E3,0.21
78.97,D#3F3,0.43
79.39,C#3F#3,0.43
79.82,A2G3,0.21
80.04,G3,0.21
80.25,C#3G3,0.21
80.46,B2G3,0.21
80.68,A2B2G3,0.43
81.11,C#3F#3,0.21
81.32,G3,0.21
81.53,A2,0.43
81.96,C#3,0.21
